system:index,doa,mean_std,stats_percentile,.geo
S1A_IW_GRDH_1SDV_20190312T062414_20190312T062439_026301_02F096_6161,20190371,"{VV_mean=-14.508938685934451, VV_stdDev=3.6704035227674687, VH_mean=-26.038819627583432, VH_stdDev=7.03312302310379}","{VV_p2=-19.22314290285144, VV_p98=-6.770311398506617, VH_p2=-34.7334168994348, VH_p98=-13.266729647874579}",
S1B_IW_GRDH_1SDV_20190318T062318_20190318T062343_015405_01CD8B_9544,20190377,"{VV_mean=-12.545237009321504, VV_stdDev=3.7934831314601727, VH_mean=-23.0274513027831, VH_stdDev=8.171129261849172}","{VV_p2=-19.73404014237829, VV_p98=-5.767679670017523, VH_p2=-36.2347973678566, VH_p98=-12.774463853896993}",
S1A_IW_GRDH_1SDV_20190324T062349_20190324T062414_026476_02F70E_0CED,20190383,"{VV_mean=-15.645974172480901, VV_stdDev=5.11519884699889, VH_mean=-27.157945301372948, VH_stdDev=8.23685026435909}","{VV_p2=-24.22784126162738, VV_p98=-7.27089548536124, VH_p2=-38.23674090644875, VH_p98=-13.267332407480197}",
S1A_IW_GRDH_1SDV_20190324T062414_20190324T062439_026476_02F70E_99EC,20190383,"{VV_mean=-16.448274658311096, VV_stdDev=4.844993277506289, VH_mean=-27.853691736590314, VH_stdDev=8.035357333587722}","{VV_p2=-23.730559674303095, VV_p98=-7.771336727403191, VH_p2=-38.23580132083035, VH_p98=-13.764013312336216}",
S1B_IW_GRDH_1SDV_20190330T062319_20190330T062344_015580_01D344_2236,20190389,"{VV_mean=-16.139850213977677, VV_stdDev=7.051609917747468, VH_mean=-24.241451571250487, VH_stdDev=8.7045120972509}","{VV_p2=-33.24799613209102, VV_p98=-6.767109669583744, VH_p2=-39.23615301613272, VH_p98=-13.272157315777003}",
S1A_IW_GRDH_1SDV_20190405T062349_20190405T062414_026651_02FD86_9B4B,20190495,"{VV_mean=-15.361003765968704, VV_stdDev=5.392890228432867, VH_mean=-26.73161936970838, VH_stdDev=8.405911478087086}","{VV_p2=-24.738653611383576, VV_p98=-6.268708641480456, VH_p2=-38.23596229684018, VH_p98=-12.769596495355023}",
S1A_IW_GRDH_1SDV_20190405T062414_20190405T062439_026651_02FD86_6947,20190495,"{VV_mean=-15.827289353849949, VV_stdDev=5.328267378865666, VH_mean=-27.20674116178805, VH_stdDev=8.372530274638157}","{VV_p2=-23.229331258900206, VV_p98=-6.267984630702316, VH_p2=-38.23577920963957, VH_p98=-12.768070072946706}",
S1B_IW_GRDH_1SDV_20190411T062319_20190411T062344_015755_01D915_CD1C,201904101,"{VV_mean=-13.614159882081294, VV_stdDev=4.588139983042379, VH_mean=-22.15865223564279, VH_stdDev=7.360334787279308}","{VV_p2=-21.73192726287553, VV_p98=-6.268302718849062, VH_p2=-36.23668074768958, VH_p98=-13.27062397561735}",
S1A_IW_GRDH_1SDV_20190417T062350_20190417T062415_026826_0303E3_D7D9,201904107,"{VV_mean=-14.97848532766432, VV_stdDev=3.8165143422250716, VH_mean=-27.07051024677998, VH_stdDev=7.856820474686941}","{VV_p2=-20.225430092467676, VV_p98=-7.270909281537752, VH_p2=-37.23416694581706, VH_p98=-13.269335274127863}",
S1A_IW_GRDH_1SDV_20190417T062415_20190417T062440_026826_0303E3_8E82,201904107,"{VV_mean=-13.143998183616453, VV_stdDev=2.732620170336277, VH_mean=-26.320218439476694, VH_stdDev=6.89700361334131}","{VV_p2=-18.737939568503563, VV_p98=-7.270546438465312, VH_p2=-34.73133013873721, VH_p98=-13.765395934019462}",
S1B_IW_GRDH_1SDV_20190423T062320_20190423T062345_015930_01DEE1_93E6,201904113,"{VV_mean=-15.26475368929865, VV_stdDev=5.561600624981003, VH_mean=-24.4118172909348, VH_stdDev=8.408748741599476}","{VV_p2=-25.735452858293844, VV_p98=-6.768928054446965, VH_p2=-38.237578080693545, VH_p98=-13.771587628802234}",
S1A_IW_GRDH_1SDV_20190429T062351_20190429T062415_027001_030A36_D73D,201904119,"{VV_mean=-20.774458145713805, VV_stdDev=8.761909485739514, VH_mean=-27.92736849604823, VH_stdDev=8.687942267502981}","{VV_p2=-35.24192704210562, VV_p98=-6.2650829263773735, VH_p2=-39.73643802937304, VH_p98=-13.765833997242195}",
